,Amount.Requested,Amount.Funded.By.Investors,Interest.Rate,Loan.Length,Loan.Purpose,Debt.To.Income.Ratio,State,Home.Ownership,Monthly.Income,FICO.Range,Open.CREDIT.Lines,Revolving.CREDIT.Balance,Inquiries.in.the.Last.6.Months,Employment.Length,FICO.Score
9708,7500,7450.0,0.07139999999999999,36,debt_consolidation,8.61%,KY,MORTGAGE,2916.67,755-759,6.0,7962.0,0.0,2 years,755
66199,18800,18800.0,0.1433,60,debt_consolidation,30.96%,AL,RENT,5000.0,720-724,13.0,16397.0,0.0,8 years,720
62657,21000,21000.0,0.1311,36,debt_consolidation,18.44%,VA,MORTGAGE,7916.67,695-699,10.0,9734.0,0.0,7 years,695
54961,8500,8500.0,0.0662,36,car,7.24%,CA,OWN,6300.0,750-754,13.0,9769.0,1.0,5 years,750
41326,13200,13200.0,0.11710000000000001,36,credit_card,15.74%,NY,RENT,3791.67,705-709,10.0,16187.0,1.0,5 years,705
57425,3000,3000.0,0.1999,60,other,19.63%,VA,MORTGAGE,4416.67,710-714,4.0,0.0,1.0,5 years,710
85229,19200,19200.0,0.22469999999999998,60,credit_card,10.39%,AZ,RENT,5666.67,670-674,5.0,17783.0,0.0,< 1 year,670
36931,13600,13600.0,0.1864,60,credit_card,12.85%,MN,RENT,5651.33,675-679,13.0,24383.0,0.0,10+ years,675
12114,6000,6000.0,0.0788,36,vacation,9.60%,PA,MORTGAGE,5500.0,730-734,6.0,790.0,1.0,3 years,730
57120,22000,22000.0,0.1465,60,debt_consolidation,29.26%,NC,MORTGAGE,3912.0,705-709,8.0,21633.0,0.0,10+ years,705
85883,12000,12000.0,0.1531,36,debt_consolidation,13.80%,TX,MORTGAGE,3333.33,665-669,10.0,16181.0,0.0,10+ years,665
28326,5000,5000.0,0.1839,36,vacation,13.71%,NJ,RENT,8125.0,675-679,5.0,29602.0,0.0,10+ years,675
74206,31050,30750.0,0.079,36,debt_consolidation,18.82%,GA,MORTGAGE,6500.0,770-774,15.0,71549.0,0.0,9 years,770
43999,10000,10000.0,0.079,36,major_purchase,12.80%,NJ,RENT,6666.67,730-734,11.0,9261.0,0.0,1 year,730
87114,10000,10000.0,0.1409,36,debt_consolidation,21.45%,CA,RENT,3750.0,700-704,4.0,18621.0,0.0,10+ years,700
41413,13250,13250.0,0.079,36,debt_consolidation,22.64%,CO,RENT,2500.0,740-744,7.0,12957.0,0.0,< 1 year,740
43623,5000,5000.0,0.1427,36,debt_consolidation,18.41%,CA,RENT,5208.33,695-699,9.0,18055.0,1.0,9 years,695
89511,14675,14675.0,0.1311,36,debt_consolidation,24.74%,TX,RENT,3166.67,710-714,14.0,5727.0,0.0,< 1 year,710
22315,7000,6875.0,0.1,36,home_improvement,1.68%,CO,RENT,2375.0,745-749,3.0,922.0,0.0,< 1 year,745
100288,6000,6000.0,0.1777,36,credit_card,32.76%,MI,OWN,1666.67,665-669,12.0,15055.0,2.0,< 1 year,665
43260,20000,20000.0,0.12689999999999999,60,debt_consolidation,17.96%,RI,MORTGAGE,4500.0,735-739,13.0,22946.0,1.0,10+ years,735
76173,7000,7000.0,0.12119999999999999,36,debt_consolidation,31.79%,SC,MORTGAGE,3916.67,695-699,9.0,11648.0,3.0,10+ years,695
88026,1500,1500.0,0.12119999999999999,36,other,15.37%,CA,RENT,3625.0,695-699,9.0,11346.0,1.0,5 years,695
83857,35000,35000.0,0.18489999999999998,36,debt_consolidation,16.33%,NY,RENT,11000.0,705-709,15.0,13766.0,1.0,n/a,705
46337,20000,20000.0,0.1825,60,credit_card,12.90%,PA,OWN,6666.67,695-699,17.0,8039.0,1.0,6 years,695
34144,21000,21000.0,0.1427,60,debt_consolidation,11.27%,GA,MORTGAGE,5333.33,710-714,8.0,19431.0,0.0,8 years,710
53780,12500,12475.0,0.0603,36,car,14.82%,FL,RENT,4944.92,755-759,11.0,6014.0,0.0,2 years,755
101800,25000,2125.0,0.1501,36,debt_consolidation,24.59%,GA,MORTGAGE,15416.67,695-699,24.0,245886.0,7.0,2 years,695
17016,9600,9600.0,0.1446,60,debt_consolidation,10.27%,DE,RENT,5500.0,680-684,8.0,8359.0,2.0,3 years,680
9639,8100,8100.0,0.13849999999999998,36,debt_consolidation,17.63%,FL,RENT,4600.0,675-679,9.0,2963.0,0.0,3 years,675
42760,15000,15000.0,0.1465,36,debt_consolidation,20.07%,MI,MORTGAGE,3666.67,690-694,11.0,13843.0,1.0,5 years,690
18362,15000,14950.0,0.1632,60,debt_consolidation,7.53%,MA,MORTGAGE,14000.0,685-689,14.0,5469.0,4.0,5 years,685
98619,11000,11000.0,0.1114,36,debt_consolidation,16.57%,NJ,MORTGAGE,5000.0,695-699,17.0,8734.0,0.0,3 years,695
19598,9600,9600.0,0.1417,36,credit_card,18.61%,NY,OWN,5416.67,670-674,21.0,16278.0,1.0,8 years,670
94218,25000,25000.0,0.1311,36,debt_consolidation,18.52%,CA,RENT,5000.0,775-779,11.0,4345.0,3.0,2 years,775
83646,14550,14550.0,0.1311,36,debt_consolidation,21.34%,WA,MORTGAGE,4583.33,685-689,7.0,20141.0,0.0,10+ years,685
56385,10000,10000.0,0.1074,36,debt_consolidation,17.88%,CA,RENT,2500.0,700-704,6.0,11120.0,0.0,3 years,700
94994,24000,24000.0,0.1114,60,debt_consolidation,20.98%,DC,OWN,8000.0,705-709,9.0,20247.0,0.0,2 years,705
38492,20000,19950.0,0.1065,60,debt_consolidation,24.02%,KS,OWN,5200.0,745-749,11.0,15709.0,0.0,10+ years,745
11868,25000,24975.0,0.1149,36,credit_card,11.78%,CA,MORTGAGE,25000.0,725-729,14.0,37719.0,0.0,7 years,725
71057,7200,7200.0,0.1777,36,home_improvement,2.18%,NC,MORTGAGE,3250.0,670-674,4.0,1301.0,1.0,4 years,670
92024,5000,5000.0,0.1433,36,debt_consolidation,11.12%,FL,RENT,2916.67,675-679,5.0,4114.0,0.0,10+ years,675
30137,20000,19975.0,0.1649,60,debt_consolidation,16.16%,MN,MORTGAGE,5000.0,710-714,13.0,20337.0,3.0,10+ years,710
26323,5600,5600.0,0.0791,36,major_purchase,20.21%,CA,RENT,3166.67,730-734,12.0,32987.0,0.0,6 years,730
48554,20000,20000.0,0.079,36,credit_card,1.30%,IL,RENT,10400.0,750-754,5.0,6969.0,0.0,1 year,750
76933,6000,6000.0,0.08900000000000001,36,other,17.16%,NY,MORTGAGE,12500.0,715-719,12.0,60368.0,2.0,< 1 year,715
29775,3200,3200.0,0.17489999999999997,60,debt_consolidation,7.90%,CA,RENT,2609.0,670-674,9.0,5382.0,0.0,3 years,670
100072,24375,24375.0,0.1409,36,credit_card,26.36%,MT,MORTGAGE,4583.33,710-714,11.0,27379.0,3.0,4 years,710
78792,25225,25225.0,0.12119999999999999,36,debt_consolidation,30.77%,CA,MORTGAGE,6500.0,715-719,8.0,11736.0,0.0,10+ years,715
13110,20000,19900.0,0.1595,60,debt_consolidation,12.20%,VA,MORTGAGE,6666.67,700-704,12.0,20744.0,1.0,5 years,700
74037,30225,30225.0,0.1777,36,credit_card,28.15%,TX,MORTGAGE,8333.33,710-714,21.0,28631.0,0.0,10+ years,710
5465,7000,7000.0,0.07400000000000001,36,credit_card,8.89%,AZ,MORTGAGE,3352.0,770-774,14.0,14014.0,2.0,< 1 year,770
23345,35000,14869.55,0.1565,60,home_improvement,26.19%,FL,MORTGAGE,6308.75,735-739,14.0,34883.0,0.0,10+ years,735
59271,7575,7575.0,0.09759999999999999,36,debt_consolidation,10.99%,TX,RENT,2375.0,725-729,3.0,5640.0,0.0,3 years,725
54197,15000,15000.0,0.1311,36,other,16.55%,PA,RENT,4166.67,695-699,11.0,9066.0,0.0,2 years,695
45525,24000,24000.0,0.15810000000000002,60,small_business,0.62%,NY,OWN,10000.0,725-729,8.0,0.0,3.0,10+ years,725
94545,19800,19775.0,0.1531,60,debt_consolidation,15.03%,IL,MORTGAGE,6666.67,675-679,10.0,46879.0,3.0,6 years,675
10785,9250,6475.0,0.1075,60,small_business,3.41%,CA,MORTGAGE,8500.0,755-759,6.0,105060.0,0.0,4 years,755
42562,6000,6000.0,0.15960000000000002,36,debt_consolidation,6.38%,NC,MORTGAGE,6916.67,660-664,7.0,6309.0,1.0,6 years,660
70606,3500,3500.0,0.1531,36,other,7.14%,NY,RENT,5000.0,685-689,2.0,14064.0,0.0,1 year,685
102226,7200,5675.0,0.1482,36,debt_consolidation,9.67%,CA,RENT,4500.0,645-649,7.0,6572.0,1.0,6 years,645
56056,12000,12000.0,0.0603,36,medical,22.57%,MT,MORTGAGE,7500.0,760-764,8.0,5116.0,0.0,10+ years,760
53245,20000,20000.0,0.079,36,credit_card,13.59%,CA,RENT,7258.33,730-734,5.0,14268.0,0.0,9 years,730
71531,3900,3900.0,0.12119999999999999,36,debt_consolidation,7.55%,HI,MORTGAGE,2583.33,685-689,8.0,3724.0,0.0,1 year,685
45828,16000,16000.0,0.19219999999999998,60,credit_card,21.28%,NC,RENT,3416.67,680-684,8.0,26060.0,1.0,10+ years,680
28189,15000,15000.0,0.15990000000000001,36,other,11.34%,SC,MORTGAGE,8583.33,675-679,6.0,3844.0,2.0,7 years,675
55542,28200,28200.0,0.205,60,debt_consolidation,15.60%,NY,MORTGAGE,4833.33,695-699,18.0,27158.0,0.0,9 years,695
26424,15000,14975.0,0.1349,36,small_business,3.44%,AK,RENT,6666.67,705-709,3.0,2698.0,0.0,< 1 year,705
27371,7400,7400.0,0.1399,36,other,20.52%,NY,RENT,4166.25,675-679,17.0,6653.0,1.0,n/a,675
24445,15000,15000.0,0.1059,36,debt_consolidation,14.66%,MA,RENT,5150.0,730-734,9.0,5116.0,2.0,2 years,730
25133,4500,4500.0,0.0599,36,debt_consolidation,21.46%,NY,RENT,3644.83,765-769,8.0,1058.0,2.0,< 1 year,765
72072,3000,3000.0,0.1409,36,debt_consolidation,12.36%,NC,RENT,4789.33,680-684,9.0,1353.0,2.0,10+ years,680
43844,9000,9000.0,0.1427,36,debt_consolidation,18.74%,TX,RENT,5833.33,675-679,13.0,11637.0,3.0,8 years,675
60894,4000,4000.0,0.08900000000000001,36,credit_card,24.11%,FL,RENT,4583.33,705-709,17.0,11351.0,0.0,1 year,705
59206,10000,10000.0,0.1727,36,credit_card,21.84%,MI,MORTGAGE,2916.67,665-669,18.0,21245.0,0.0,10+ years,665
24426,6400,6400.0,0.15990000000000001,60,debt_consolidation,24.43%,NY,RENT,3500.0,690-694,9.0,973.0,0.0,4 years,690
91173,4325,4325.0,0.1016,36,debt_consolidation,1.79%,GA,MORTGAGE,11000.0,715-719,9.0,75.0,3.0,n/a,715
56404,12000,12000.0,0.1311,36,debt_consolidation,17.04%,WA,MORTGAGE,4583.33,695-699,9.0,41871.0,0.0,3 years,695
75634,10000,10000.0,0.1531,36,debt_consolidation,10.40%,CA,RENT,9000.0,665-669,12.0,5141.0,0.0,10+ years,665
93296,12000,12000.0,0.1016,36,home_improvement,8.05%,MA,MORTGAGE,6250.0,720-724,9.0,11626.0,0.0,< 1 year,720
69885,6000,6000.0,0.12119999999999999,36,debt_consolidation,4.94%,WI,MORTGAGE,4333.33,690-694,12.0,9656.0,2.0,5 years,690
31787,2200,2200.0,0.1349,36,debt_consolidation,3.27%,WA,OWN,6666.67,700-704,2.0,10142.0,0.0,5 years,700
38073,5000,5000.0,0.1427,36,debt_consolidation,17%,FL,OWN,5000.0,670-674,9.0,14748.0,3.0,1 year,670
25600,12000,12000.0,0.19690000000000002,60,debt_consolidation,16.23%,NV,RENT,3376.0,665-669,12.0,8437.0,1.0,4 years,665
36576,3000,3000.0,0.079,36,credit_card,22.03%,PA,MORTGAGE,5583.33,705-709,15.0,12968.0,0.0,3 years,705
81991,30000,30000.0,0.21489999999999998,60,debt_consolidation,16.89%,NY,MORTGAGE,13999.17,700-704,14.0,61579.0,0.0,10+ years,700
73434,10800,10800.0,0.12119999999999999,36,debt_consolidation,26.70%,NJ,RENT,5833.33,695-699,6.0,27585.0,0.0,5 years,695
50956,10500,10500.0,0.1825,36,debt_consolidation,11.52%,GA,MORTGAGE,8750.0,660-664,15.0,9984.0,3.0,8 years,660
45189,10000,10000.0,0.0662,36,debt_consolidation,5.49%,CA,MORTGAGE,10833.33,755-759,5.0,40827.0,0.0,7 years,755
80144,24000,23950.0,0.12119999999999999,36,debt_consolidation,26.68%,TX,MORTGAGE,5791.67,715-719,13.0,34104.0,0.0,10+ years,715
77251,16000,16000.0,0.1409,36,debt_consolidation,2.85%,CA,MORTGAGE,3333.33,690-694,6.0,3909.0,0.0,7 years,690
49782,15000,15000.0,0.1399,36,debt_consolidation,12.60%,MI,MORTGAGE,3500.0,705-709,7.0,13036.0,1.0,10+ years,705
101411,9500,9500.0,0.2198,36,other,16.01%,PA,RENT,4500.0,660-664,7.0,3673.0,1.0,3 years,660
81782,35000,35000.0,0.1905,36,debt_consolidation,15.75%,FL,MORTGAGE,18750.0,690-694,21.0,73813.0,1.0,4 years,690
71268,5000,5000.0,0.079,36,debt_consolidation,21.82%,TX,MORTGAGE,4166.67,725-729,8.0,15502.0,1.0,n/a,725
38833,15000,15000.0,0.11710000000000001,36,debt_consolidation,11.70%,FL,RENT,6250.0,700-704,6.0,6622.0,0.0,6 years,700
69249,5000,5000.0,0.1531,36,debt_consolidation,17.37%,GA,RENT,1750.0,675-679,3.0,10361.0,0.0,< 1 year,675
5299,19000,18975.0,0.1114,36,debt_consolidation,19.83%,CA,RENT,4548.83,775-779,12.0,33809.0,1.0,5 years,775
61835,11625,11625.0,0.158,36,debt_consolidation,31.12%,OK,RENT,2860.0,680-684,14.0,8374.0,2.0,7 years,680
64769,25000,25000.0,0.0762,36,wedding,13.45%,NY,RENT,6750.0,750-754,16.0,17193.0,0.0,5 years,750
35250,8000,8000.0,0.12689999999999999,36,debt_consolidation,7.67%,AL,OWN,7916.67,685-689,4.0,1442.0,0.0,6 years,685
7007,9800,9675.0,0.0859,36,major_purchase,14.99%,HI,MORTGAGE,3583.33,760-764,12.0,5164.0,0.0,3 years,760
2577,6000,5975.0,0.08,36,wedding,1.06%,NY,RENT,5000.0,765-769,6.0,7161.0,0.0,3 years,765
37863,10200,10200.0,0.1242,36,debt_consolidation,17.86%,CO,MORTGAGE,5833.33,705-709,9.0,9817.0,2.0,4 years,705
34551,10500,10500.0,0.0662,36,medical,16.26%,OK,MORTGAGE,4853.33,760-764,9.0,2816.0,1.0,3 years,760
38905,5000,5000.0,0.079,36,small_business,7.75%,IL,MORTGAGE,5500.0,725-729,11.0,16396.0,3.0,< 1 year,725
53762,17500,17500.0,0.079,36,small_business,7.97%,CA,RENT,5416.67,810-814,4.0,17.0,0.0,< 1 year,810
32323,4000,4000.0,0.19030000000000002,36,other,10.56%,CA,RENT,1600.0,685-689,2.0,299.0,0.0,6 years,685
49042,22000,22000.0,0.12119999999999999,36,debt_consolidation,16.93%,NY,RENT,3916.67,715-719,4.0,22142.0,0.0,1 year,715
16346,5000,4900.0,0.0579,36,other,9.18%,NY,RENT,5520.0,750-754,10.0,7351.0,0.0,7 years,750
100424,8000,8000.0,0.1629,36,credit_card,29.19%,IL,MORTGAGE,6916.67,685-689,14.0,21498.0,2.0,4 years,685
75831,19125,19125.0,0.18489999999999998,60,other,29.10%,GA,RENT,4166.67,700-704,14.0,28108.0,3.0,6 years,700
67863,16000,16000.0,0.12119999999999999,36,debt_consolidation,18.23%,NY,RENT,4166.67,700-704,14.0,16309.0,0.0,1 year,700
103546,4500,4500.0,0.1459,36,vacation,17.35%,NY,OWN,6000.0,660-664,18.0,5197.0,4.0,2 years,660
50874,5800,5800.0,0.2245,60,other,11.86%,CA,RENT,1416.67,665-669,3.0,6077.0,2.0,6 years,665
101548,10000,525.0,0.147,36,credit_card,6.37%,FL,RENT,5416.67,645-649,4.0,2211.0,6.0,< 1 year,645
80841,16750,16750.0,0.1875,36,debt_consolidation,8.84%,FL,MORTGAGE,5666.67,680-684,8.0,13567.0,1.0,4 years,680
65855,3600,3600.0,0.12119999999999999,36,debt_consolidation,27.16%,CA,OWN,3333.33,695-699,15.0,12153.0,1.0,10+ years,695
26919,10000,10000.0,0.1562,36,debt_consolidation,12.19%,NY,RENT,7500.0,670-674,12.0,17133.0,1.0,10+ years,670
31098,6000,6000.0,0.0542,36,vacation,1.51%,MD,OWN,4250.0,800-804,14.0,1838.0,0.0,10+ years,800
68962,10000,10000.0,0.0762,36,medical,13.26%,MN,MORTGAGE,7416.67,735-739,12.0,16297.0,2.0,10+ years,735
61493,10000,10000.0,0.1777,36,credit_card,5.80%,CO,RENT,7166.67,685-689,3.0,15279.0,1.0,10+ years,685
28574,5000,5000.0,0.07490000000000001,36,home_improvement,16.45%,VA,MORTGAGE,18750.0,745-749,10.0,129071.0,0.0,10+ years,745
69724,35000,34950.0,0.2376,60,debt_consolidation,24.22%,NY,RENT,7331.25,665-669,16.0,28687.0,2.0,4 years,665
33068,7000,7000.0,0.079,36,wedding,20.72%,CT,RENT,6000.0,715-719,9.0,6659.0,0.0,< 1 year,715
1342,3000,1647.62,0.102,36,major_purchase,0.33%,CT,RENT,4583.33,800-804,3.0,37.0,0.0,< 1 year,800
31200,28000,28000.0,0.1562,36,debt_consolidation,5.70%,GA,MORTGAGE,6250.0,695-699,6.0,11923.0,1.0,3 years,695
10264,15200,6800.0,0.1558,60,home_improvement,19.22%,DC,MORTGAGE,12083.33,690-694,20.0,19712.0,2.0,2 years,690
49920,15775,15775.0,0.1465,36,other,3.37%,NY,RENT,4000.0,710-714,11.0,4058.0,1.0,10+ years,710
30441,30000,22425.0,0.1059,36,home_improvement,8.15%,MN,MORTGAGE,22916.67,765-769,13.0,1945.0,0.0,4 years,765
33148,3000,3000.0,0.09910000000000001,36,wedding,4.75%,IL,OWN,4166.67,710-714,9.0,7321.0,3.0,6 years,710
79022,15350,15350.0,0.18489999999999998,36,debt_consolidation,15.09%,GA,MORTGAGE,4400.0,670-674,7.0,12823.0,0.0,10+ years,670
45222,26500,26500.0,0.09759999999999999,60,small_business,17.19%,NY,MORTGAGE,5416.67,785-789,13.0,9966.0,0.0,10+ years,785
22768,6400,6400.0,0.06,60,home_improvement,3.09%,FL,MORTGAGE,6250.0,695-699,5.0,241.0,0.0,3 years,695
96412,13200,13200.0,0.1433,36,debt_consolidation,28.75%,CA,RENT,3833.33,695-699,9.0,8568.0,1.0,10+ years,695
29340,12000,12000.0,0.1149,36,debt_consolidation,17.73%,CA,MORTGAGE,7300.0,705-709,9.0,38342.0,0.0,4 years,705
73863,4000,4000.0,0.0603,36,car,33.67%,GA,MORTGAGE,7917.0,800-804,19.0,55123.0,1.0,10+ years,800
32269,2500,2500.0,0.0662,36,home_improvement,10.96%,MD,MORTGAGE,6166.67,730-734,14.0,24495.0,0.0,10+ years,730
45097,28000,27925.0,0.1855,36,debt_consolidation,8.99%,LA,MORTGAGE,6666.67,700-704,6.0,14189.0,2.0,n/a,700
62353,9000,8975.0,0.08900000000000001,36,debt_consolidation,7.33%,CA,RENT,12500.0,730-734,4.0,12964.0,0.0,5 years,730
53042,6600,6600.0,0.0603,36,home_improvement,16.69%,NC,MORTGAGE,6250.0,750-754,14.0,17258.0,0.0,10+ years,750
92363,27050,27050.0,0.1727,60,credit_card,27.59%,WA,MORTGAGE,5025.0,705-709,13.0,40037.0,1.0,10+ years,705
27374,4800,4800.0,0.15990000000000001,36,major_purchase,0%,IL,RENT,4583.33,675-679,2.0,0.0,0.0,6 years,675
67953,7550,7550.0,0.1016,36,debt_consolidation,3.83%,CA,MORTGAGE,8333.33,710-714,10.0,10204.0,0.0,2 years,710
5880,10000,10000.0,0.0774,36,debt_consolidation,0.17%,OR,MORTGAGE,7083.33,775-779,9.0,2994.0,0.0,10+ years,775
3031,12500,12275.0,0.11259999999999999,36,credit_card,12.21%,TX,RENT,4333.33,730-734,6.0,12568.0,2.0,8 years,730
92244,27575,27575.0,0.1905,36,debt_consolidation,19.30%,WI,RENT,5166.67,660-664,6.0,14935.0,1.0,10+ years,660
61500,20000,20000.0,0.1311,36,debt_consolidation,3.94%,IL,MORTGAGE,7238.92,720-724,6.0,11751.0,3.0,10+ years,720
7002,15000,14900.0,0.1461,36,major_purchase,9.17%,TX,RENT,3000.0,730-734,8.0,0.0,2.0,< 1 year,730
53002,18000,18000.0,0.08900000000000001,36,home_improvement,12.79%,NV,MORTGAGE,10500.0,730-734,15.0,4856.0,2.0,< 1 year,730
32737,5400,5375.0,0.08900000000000001,36,small_business,6.27%,OH,RENT,3000.0,785-789,2.0,90.0,2.0,n/a,785
47286,23000,22950.0,0.15810000000000002,36,credit_card,16.02%,CA,RENT,7083.33,695-699,8.0,9664.0,2.0,4 years,695
16577,8000,7950.0,0.0579,36,home_improvement,19.65%,FL,OWN,5833.33,770-774,8.0,0.0,0.0,3 years,770
35530,3000,2950.0,0.12689999999999999,36,debt_consolidation,4.25%,SC,OWN,1200.0,705-709,4.0,1643.0,0.0,< 1 year,705
23575,7200,7200.0,0.0692,36,credit_card,11.72%,RI,MORTGAGE,7083.33,780-784,6.0,15933.0,1.0,3 years,780
99508,15350,15350.0,0.158,36,credit_card,7.41%,CO,MORTGAGE,5666.67,670-674,6.0,8128.0,0.0,1 year,670
72670,6000,6000.0,0.12119999999999999,36,wedding,21.21%,GA,RENT,3333.33,685-689,8.0,4638.0,0.0,2 years,685
2882,15000,8081.65,0.1316,36,debt_consolidation,13.16%,GA,MORTGAGE,2583.33,755-759,3.0,4923.0,2.0,9 years,755
20093,5000,5000.0,0.1268,60,moving,12.59%,NY,RENT,4416.67,690-694,13.0,7686.0,0.0,< 1 year,690
9020,2575,2575.0,0.0676,36,educational,4.80%,MA,RENT,6875.0,760-764,6.0,4678.0,2.0,3 years,760
52639,1800,1800.0,0.1367,36,vacation,24.21%,NY,RENT,4250.0,670-674,11.0,5757.0,0.0,5 years,670
76348,10000,10000.0,0.1409,36,other,26.44%,WA,MORTGAGE,5416.67,700-704,6.0,18652.0,1.0,6 years,700
57727,7750,7750.0,0.1074,36,debt_consolidation,6.51%,UT,MORTGAGE,2916.67,705-709,5.0,6889.0,0.0,6 years,705
91915,12000,12000.0,0.1629,36,debt_consolidation,28.76%,CT,RENT,5666.67,660-664,21.0,16822.0,2.0,3 years,660
97696,10000,10000.0,0.0603,36,debt_consolidation,16%,KY,MORTGAGE,8333.33,780-784,11.0,14832.0,0.0,10+ years,780
51525,4950,4950.0,0.1367,36,debt_consolidation,14.11%,CA,MORTGAGE,4166.67,665-669,15.0,8379.0,0.0,5 years,665
41626,8400,8350.0,0.0603,36,medical,15.34%,WA,MORTGAGE,3200.0,760-764,6.0,10576.0,0.0,n/a,760
71634,3500,3500.0,0.12119999999999999,36,other,17.82%,CA,MORTGAGE,5416.67,695-699,15.0,4067.0,3.0,< 1 year,695
51795,12000,12000.0,0.1629,36,credit_card,18.37%,TX,MORTGAGE,7083.33,665-669,16.0,16993.0,2.0,7 years,665
73201,18000,18000.0,0.22469999999999998,60,credit_card,17.17%,OH,MORTGAGE,5562.92,660-664,13.0,14866.0,3.0,7 years,660
31566,14675,14650.0,0.12990000000000002,60,debt_consolidation,29.18%,FL,RENT,3167.0,725-729,7.0,21088.0,1.0,6 years,725
90826,13000,13000.0,0.1409,36,credit_card,16.09%,CT,RENT,3250.0,675-679,6.0,6930.0,0.0,2 years,675
64262,15000,15000.0,0.1311,36,debt_consolidation,33.12%,NY,RENT,4166.67,695-699,10.0,13198.0,0.0,9 years,695
2749,8250,8205.63,0.0932,36,credit_card,24.45%,OH,MORTGAGE,3300.0,755-759,17.0,29576.0,2.0,8 years,755
73233,6900,6900.0,0.1409,36,credit_card,17.78%,AR,OWN,4166.67,685-689,9.0,9720.0,1.0,10+ years,685
88842,35000,35000.0,0.20489999999999997,60,debt_consolidation,12.54%,PA,MORTGAGE,10416.67,685-689,14.0,26487.0,4.0,2 years,685
8773,25000,23995.24,0.10619999999999999,36,debt_consolidation,12.21%,VA,RENT,11166.67,750-754,6.0,28556.0,0.0,7 years,750
94795,9600,9600.0,0.1114,36,debt_consolidation,20.58%,NV,MORTGAGE,3833.33,705-709,9.0,44403.0,1.0,5 years,705
71783,9000,8975.0,0.0662,36,debt_consolidation,17.11%,NY,MORTGAGE,6750.0,755-759,7.0,12553.0,2.0,7 years,755
65113,6500,6500.0,0.08900000000000001,36,credit_card,31.45%,CO,MORTGAGE,6000.0,740-744,14.0,61865.0,2.0,< 1 year,740
5189,1750,1750.0,0.1114,36,credit_card,8.02%,CA,RENT,1833.33,720-724,4.0,1838.0,0.0,2 years,720
20592,5000,5000.0,0.0542,36,wedding,23.15%,OH,RENT,2833.33,750-754,7.0,4573.0,0.0,3 years,750
71038,6000,6000.0,0.158,36,debt_consolidation,16.40%,GA,RENT,2500.0,670-674,5.0,5892.0,1.0,4 years,670
72764,25000,25000.0,0.1409,36,debt_consolidation,19.13%,CA,RENT,6083.33,700-704,19.0,14666.0,0.0,10+ years,700
77043,13000,13000.0,0.1433,36,debt_consolidation,11.08%,MN,MORTGAGE,3358.33,690-694,7.0,6327.0,1.0,10+ years,690
51326,5875,5875.0,0.079,36,other,14.75%,NV,RENT,5416.67,720-724,15.0,2617.0,2.0,4 years,720
57788,5000,5000.0,0.1629,36,debt_consolidation,20.77%,VA,RENT,4583.33,660-664,19.0,11991.0,1.0,6 years,660
13386,16000,7925.0,0.16449999999999998,60,debt_consolidation,16.66%,MO,MORTGAGE,5500.0,680-684,6.0,6842.0,0.0,9 years,680
17877,12000,12000.0,0.0962,60,small_business,14.12%,GA,MORTGAGE,6666.67,730-734,10.0,6969.0,1.0,4 years,730
88396,35000,35000.0,0.12119999999999999,36,debt_consolidation,19.90%,FL,MORTGAGE,13933.33,720-724,18.0,24288.0,0.0,1 year,720
19466,4800,4775.0,0.0579,36,car,11.71%,NJ,RENT,2800.0,735-739,6.0,9228.0,0.0,3 years,735
19859,6500,6500.0,0.11109999999999999,36,credit_card,13.98%,WY,MORTGAGE,2253.0,680-684,11.0,7558.0,1.0,2 years,680
19297,25000,25000.0,0.1306,36,other,4.14%,MI,MORTGAGE,11500.0,735-739,4.0,6578.0,0.0,< 1 year,735
82626,1000,1000.0,0.0762,36,debt_consolidation,5.59%,MD,MORTGAGE,9333.33,785-789,6.0,350.0,4.0,2 years,785
8078,16000,16000.0,0.1348,36,debt_consolidation,15.17%,KY,MORTGAGE,4166.67,700-704,6.0,1962.0,1.0,2 years,700
102374,7675,2275.0,0.15130000000000002,36,other,18.08%,TX,MORTGAGE,11666.67,645-649,13.0,12578.0,0.0,9 years,645
78732,13600,13600.0,0.08900000000000001,36,debt_consolidation,10.94%,WA,RENT,10000.0,720-724,15.0,18028.0,0.0,10+ years,720
71751,12000,12000.0,0.1531,36,debt_consolidation,32.91%,CA,RENT,5500.0,680-684,21.0,13559.0,1.0,3 years,680
20020,15000,15000.0,0.10369999999999999,36,house,26.72%,AL,MORTGAGE,5250.0,750-754,11.0,44850.0,1.0,10+ years,750
89844,7125,7125.0,0.18489999999999998,36,debt_consolidation,11.18%,CT,MORTGAGE,5636.75,675-679,14.0,5383.0,2.0,8 years,675
35991,35000,34977.35,0.2167,60,house,14.25%,CA,RENT,20833.33,675-679,12.0,79792.0,0.0,6 years,675
92975,11575,11575.0,0.1311,60,debt_consolidation,18.37%,NY,MORTGAGE,3750.0,725-729,12.0,18790.0,1.0,10+ years,725
5274,5000,5000.0,0.07400000000000001,36,major_purchase,14.22%,GA,RENT,6000.0,780-784,7.0,1751.0,0.0,6 years,780
48009,5000,5000.0,0.0762,36,debt_consolidation,3.04%,NY,OWN,2500.0,735-739,5.0,4864.0,0.0,3 years,735
1046,5000,527.49,0.1324,36,debt_consolidation,13.28%,NJ,RENT,4833.0,660-664,10.0,9816.0,0.0,4 years,660
